,0,1,2,3,4,5
0,0.0497,0.0435,0.043,0.0418,0.0397,0.038
1,0.0965,0.0879,0.0849,0.0741,0.0689,0.0576
2,0.1543,0.1277,0.1067,0.093,0.0806,0.07
3,0.2041,0.1565,0.1253,0.1053,0.0812,0.0643
4,0.2474,0.1862,0.1423,0.1077,0.0809,0.0606
5,0.294,0.2121,0.14,0.1106,0.0706,0.0504
6,0.3497,0.2241,0.1489,0.0992,0.0618,0.0404
7,0.4065,0.2389,0.142,0.0872,0.049,0.0302
8,0.4502,0.2493,0.1365,0.0737,0.0394,0.0237
9,0.5025,0.2527,0.1255,0.0579,0.031,0.0166
10,0.5408,0.2552,0.1093,0.0542,0.0238,0.0096
11,0.6039,0.237,0.0953,0.0385,0.0144,0.006
12,0.6514,0.2249,0.0805,0.0284,0.0084,0.0051
13,0.7051,0.2068,0.062,0.0185,0.0056,0.0013
14,0.7477,0.1863,0.0499,0.0126,0.0025,0.0008
15,0.7983,0.1629,0.0307,0.0065,0.0012,0.0004
16,0.8514,0.1254,0.0194,0.0033,0.0004,0.0001
17,0.8992,0.0885,0.0114,0.0009,0.0,0.0
