,0,1,2,3,4,5,6,7,8,9,10
0,0.0008,0.0095,0.0449,0.1207,0.2086,0.2448,0.203,0.114,0.0432,0.0095,0.001
1,0.0008,0.0083,0.0438,0.1185,0.21,0.2464,0.2022,0.1129,0.0485,0.0078,0.0008
2,0.0007,0.008,0.0446,0.1181,0.2044,0.2485,0.2046,0.1174,0.043,0.0094,0.0013
3,0.0003,0.0105,0.0453,0.1109,0.1995,0.2593,0.2056,0.1152,0.0438,0.0085,0.0011
4,0.0009,0.0088,0.044,0.1203,0.2057,0.249,0.2029,0.1132,0.0446,0.01,0.0006
5,0.001,0.0113,0.0478,0.1153,0.2095,0.2463,0.1966,0.1131,0.0485,0.0094,0.0012
6,0.0008,0.0083,0.0427,0.1184,0.2069,0.2482,0.1982,0.1214,0.0433,0.0108,0.001
7,0.0009,0.0093,0.0423,0.1164,0.2026,0.24,0.212,0.1229,0.0427,0.0096,0.0013
8,0.001,0.0099,0.0439,0.1172,0.2047,0.2493,0.2077,0.1121,0.0445,0.0089,0.0008
9,0.0006,0.0077,0.0461,0.1234,0.1975,0.2419,0.2115,0.1175,0.0425,0.01,0.0013
10,0.0015,0.0092,0.0431,0.112,0.2132,0.2427,0.207,0.1143,0.0469,0.0087,0.0014
11,0.0013,0.0097,0.0435,0.1167,0.2054,0.2489,0.2061,0.1162,0.0431,0.0083,0.0008
12,0.0008,0.0105,0.046,0.1154,0.2045,0.2461,0.2031,0.1189,0.0444,0.0097,0.0006
13,0.0011,0.0125,0.0429,0.1111,0.2106,0.2417,0.206,0.1204,0.0435,0.009,0.0012
14,0.0008,0.0095,0.0427,0.1168,0.2098,0.2453,0.206,0.1138,0.0442,0.0102,0.0009
15,0.0006,0.0089,0.0433,0.1125,0.2069,0.2455,0.2024,0.1234,0.0464,0.0088,0.0013
16,0.0011,0.0092,0.0423,0.1155,0.2057,0.2464,0.2098,0.1129,0.0458,0.0103,0.001
17,0.0011,0.0095,0.0443,0.1154,0.2073,0.2411,0.2034,0.1225,0.0445,0.0093,0.0016
18,0.001,0.0102,0.0393,0.1115,0.2103,0.2502,0.2092,0.1171,0.0429,0.0076,0.0007
