,0,1,2,3,4,5,6,7,8,9,10
0,0.0012,0.0091,0.0427,0.1129,0.202,0.2533,0.2032,0.1231,0.042,0.0098,0.0007
1,0.001,0.0097,0.0433,0.1179,0.2048,0.2471,0.2039,0.1172,0.046,0.0084,0.0007
2,0.0012,0.0086,0.0475,0.1169,0.2036,0.2431,0.2041,0.1218,0.0414,0.0102,0.0016
3,0.0014,0.01,0.0442,0.1147,0.2081,0.2491,0.2013,0.1174,0.0425,0.0105,0.0008
4,0.001,0.0086,0.0432,0.1157,0.2076,0.2494,0.1978,0.1176,0.0485,0.01,0.0006
5,0.0014,0.0095,0.0457,0.116,0.2081,0.2451,0.2062,0.1128,0.0444,0.0099,0.0009
6,0.0006,0.0087,0.0419,0.1145,0.2054,0.2506,0.203,0.116,0.0476,0.0105,0.0012
7,0.0012,0.0095,0.0435,0.118,0.2004,0.2471,0.2007,0.123,0.048,0.008,0.0006
8,0.0019,0.0104,0.0447,0.1099,0.209,0.2524,0.2002,0.1137,0.0461,0.0103,0.0014
9,0.0009,0.0091,0.043,0.1212,0.204,0.2476,0.1984,0.1163,0.0469,0.0116,0.001
10,0.0005,0.0105,0.0441,0.1176,0.208,0.2348,0.2092,0.1198,0.0455,0.0093,0.0007
11,0.0012,0.0077,0.0435,0.115,0.2041,0.2445,0.2116,0.1207,0.0411,0.0097,0.0009
12,0.0005,0.0097,0.0437,0.1155,0.2049,0.2426,0.2087,0.1195,0.0436,0.0101,0.0012
13,0.0013,0.0094,0.0475,0.1163,0.1943,0.257,0.2058,0.1126,0.0448,0.0102,0.0008
14,0.0007,0.0107,0.0454,0.1164,0.2024,0.2461,0.2013,0.1229,0.0437,0.01,0.0004
15,0.001,0.0086,0.0471,0.1116,0.2001,0.2517,0.2058,0.1216,0.0432,0.0081,0.0012
16,0.0009,0.0079,0.042,0.1115,0.2133,0.2433,0.205,0.1194,0.0449,0.0106,0.0012
17,0.0014,0.01,0.0479,0.1189,0.2036,0.2511,0.2007,0.1125,0.0449,0.0081,0.0009
18,0.001,0.0107,0.0421,0.1233,0.2074,0.247,0.199,0.1147,0.0429,0.0105,0.0014
