,0,1,2,3,4,5,6,7,8,9,10
0,0.0162,0.0809,0.2005,0.2561,0.2341,0.1354,0.0552,0.0176,0.0038,0.0002,0.0
1,0.0181,0.0889,0.1946,0.2579,0.2224,0.1383,0.0606,0.0158,0.0028,0.0006,0.0
2,0.016,0.089,0.1886,0.2607,0.2396,0.1327,0.0534,0.0165,0.0027,0.0008,0.0
3,0.0172,0.0873,0.1988,0.2622,0.2232,0.1375,0.0556,0.0153,0.0027,0.0002,0.0
4,0.0179,0.0877,0.1929,0.2605,0.2246,0.1396,0.0578,0.0156,0.0033,0.0001,0.0
5,0.0162,0.0897,0.1968,0.2577,0.2236,0.1361,0.0601,0.0168,0.0027,0.0003,0.0
6,0.0166,0.0879,0.1996,0.2563,0.2259,0.1374,0.0559,0.0173,0.003,0.0001,0.0
7,0.0158,0.0898,0.1996,0.2524,0.2227,0.1404,0.0608,0.0152,0.0031,0.0002,0.0
8,0.0185,0.0852,0.1937,0.2695,0.2248,0.1336,0.0557,0.0142,0.004,0.0008,0.0
9,0.0171,0.0841,0.1983,0.2663,0.2233,0.1314,0.0572,0.0189,0.0031,0.0003,0.0
10,0.0179,0.0839,0.1977,0.2593,0.2219,0.1449,0.0554,0.0161,0.0025,0.0003,0.0001
11,0.0169,0.0925,0.1969,0.2583,0.2224,0.1405,0.0528,0.0168,0.0026,0.0003,0.0
12,0.0184,0.0879,0.1917,0.259,0.2322,0.1384,0.0543,0.0149,0.0028,0.0004,0.0
13,0.0186,0.0894,0.2004,0.2578,0.2205,0.1336,0.0577,0.0172,0.0044,0.0002,0.0002
14,0.0198,0.0898,0.1897,0.2568,0.2288,0.1364,0.0587,0.0163,0.0032,0.0005,0.0
15,0.0173,0.0867,0.1987,0.2512,0.2301,0.1397,0.0567,0.0167,0.0026,0.0002,0.0001
16,0.0152,0.0849,0.1932,0.2643,0.2276,0.1341,0.0586,0.0187,0.0031,0.0003,0.0
17,0.0202,0.0879,0.1928,0.2603,0.2256,0.1353,0.0569,0.0172,0.0035,0.0003,0.0
18,0.0167,0.0905,0.192,0.2602,0.2299,0.1351,0.0564,0.0161,0.0027,0.0004,0.0
