,0,1,2
0,"(5, 1)","(1, 1)","(4, 0)"
1,"(2, 1)","(1, 0)","(2, 1)"
2,"(1, 1)","(7, 1)","(4, 0)"
3,"(3, 1)","(2, 0)","(2, 2)"
4,"(1, 1)","(4, 0)","(4, 0)"
5,"(3, 2)","(1, 0)","(2, 0)"
6,"(2, 2)","(5, 0)","(6, 1)"
7,"(3, 0)","(4, 0)","(1, 1)"
8,"(3, 0)","(1, 1)","(1, 0)"
9,"(2, 2)","(3, 2)","(1, 0)"
10,"(2, 0)","(1, 0)","(6, 0)"
11,"(5, 0)","(2, 2)","(1, 0)"
12,"(3, 1)","(1, 2)","(1, 0)"
13,"(2, 0)","(1, 0)","(1, 2)"
14,"(1, 0)","(1, 0)","(1, 0)"
15,"(4, 1)","(1, 0)","(1, 0)"
16,"(1, 0)","(1, 0)","(1, 0)"
17,"(1, 2)","(1, 2)","(1, 0)"
