,0,1,2,3,4,5,6,7,8,9,10
0,0.0012,0.0088,0.0452,0.1206,0.2022,0.2427,0.2001,0.1201,0.0469,0.0109,0.0013
1,0.0009,0.009,0.0445,0.117,0.2015,0.2473,0.2079,0.118,0.0433,0.0092,0.0014
2,0.001,0.0105,0.0443,0.1158,0.2027,0.2501,0.1999,0.1202,0.0445,0.0103,0.0007
3,0.0008,0.0105,0.0442,0.1072,0.2043,0.2471,0.21,0.119,0.0468,0.0094,0.0007
4,0.0009,0.0106,0.0435,0.1147,0.2078,0.2465,0.2083,0.1128,0.0445,0.009,0.0014
5,0.0014,0.0116,0.0389,0.1109,0.2047,0.2462,0.2105,0.1212,0.0451,0.0086,0.0009
6,0.0008,0.0091,0.0446,0.1128,0.2104,0.2431,0.2127,0.115,0.0409,0.01,0.0006
7,0.0009,0.0087,0.044,0.1146,0.2121,0.2447,0.2037,0.1177,0.043,0.0098,0.0008
8,0.0013,0.0086,0.0432,0.1105,0.2078,0.2484,0.2044,0.1212,0.0439,0.0097,0.001
9,0.0013,0.0098,0.0442,0.1203,0.2062,0.2422,0.2051,0.1168,0.043,0.0102,0.0009
10,0.0007,0.0084,0.0427,0.1179,0.2079,0.2462,0.2069,0.113,0.0447,0.0106,0.001
11,0.0009,0.0082,0.0415,0.1184,0.2042,0.2577,0.1981,0.1177,0.0432,0.0093,0.0008
12,0.0005,0.0089,0.0438,0.1212,0.2106,0.2489,0.2003,0.1127,0.0435,0.0088,0.0008
13,0.001,0.0088,0.0457,0.1172,0.2019,0.2488,0.2,0.1198,0.0458,0.0102,0.0008
14,0.0009,0.0096,0.0476,0.1156,0.1994,0.251,0.2057,0.1143,0.046,0.0093,0.0006
15,0.0005,0.0114,0.0427,0.119,0.2064,0.247,0.2021,0.1136,0.0449,0.0111,0.0013
16,0.001,0.0103,0.0442,0.1176,0.2082,0.2425,0.2041,0.1186,0.0424,0.0097,0.0014
17,0.001,0.0114,0.0452,0.1154,0.2057,0.2453,0.2054,0.1152,0.0451,0.0093,0.001
18,0.0009,0.0102,0.0468,0.1198,0.1985,0.2415,0.2114,0.117,0.0431,0.0098,0.001
