,0,1,2,3,4,5,6,7,8,9,10
0,0.0008,0.0098,0.0422,0.1157,0.2012,0.2425,0.213,0.1191,0.0442,0.0106,0.0009
1,0.0163,0.0861,0.1977,0.2579,0.2295,0.1376,0.0565,0.0163,0.002,0.0001,0.0
2,0.0575,0.1849,0.2734,0.2575,0.1491,0.0586,0.0157,0.0028,0.0005,0.0,0.0
3,0.1067,0.2641,0.3037,0.2029,0.0889,0.0266,0.0055,0.0013,0.0003,0.0,0.0
4,0.1514,0.3205,0.2988,0.1577,0.0561,0.0128,0.0027,0.0,0.0,0.0,0.0
5,0.2147,0.3605,0.2743,0.1091,0.0334,0.0071,0.0009,0.0,0.0,0.0,0.0
6,0.2601,0.3697,0.2472,0.093,0.0248,0.0047,0.0005,0.0,0.0,0.0,0.0
7,0.3053,0.3902,0.2162,0.0695,0.0163,0.0021,0.0004,0.0,0.0,0.0,0.0
8,0.3478,0.3882,0.1916,0.059,0.0116,0.0016,0.0002,0.0,0.0,0.0,0.0
9,0.3833,0.3849,0.1745,0.048,0.0076,0.0015,0.0002,0.0,0.0,0.0,0.0
10,0.4161,0.3847,0.1536,0.039,0.0057,0.0008,0.0001,0.0,0.0,0.0,0.0
11,0.4443,0.3769,0.1409,0.0322,0.0051,0.0003,0.0003,0.0,0.0,0.0,0.0
12,0.4809,0.362,0.1253,0.0287,0.003,0.0001,0.0,0.0,0.0,0.0,0.0
13,0.5121,0.3483,0.115,0.0211,0.0034,0.0001,0.0,0.0,0.0,0.0,0.0
14,0.5267,0.3459,0.1069,0.0182,0.002,0.0003,0.0,0.0,0.0,0.0,0.0
15,0.5506,0.3403,0.0915,0.0155,0.002,0.0001,0.0,0.0,0.0,0.0,0.0
16,0.5636,0.3303,0.0897,0.0147,0.0017,0.0,0.0,0.0,0.0,0.0,0.0
17,0.5825,0.3196,0.0823,0.0141,0.0014,0.0001,0.0,0.0,0.0,0.0,0.0
18,0.6023,0.316,0.0726,0.0085,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
