,0,1,2,3,4,5
0,0.0,1.0,9.0,1.0,0.0,13.0
1,3.0,0.0,2.0,0.0,3.0,2.0
2,2.0,3.0,6.0,4.0,0.0,14.0
3,16.0,2.0,2.0,8.0,1.0,2.0
4,4.0,1.0,1.0,2.0,1.0,12.0
5,9.0,13.0,6.0,0.0,8.0,2.0
6,9.0,2.0,3.0,2.0,4.0,0.0
7,7.0,0.0,10.0,0.0,7.0,1.0
8,0.0,10.0,0.0,9.0,2.0,8.0
9,3.0,6.0,2.0,18.0,5.0,12.0
10,5.0,0.0,1.0,0.0,1.0,1.0
11,2.0,1.0,7.0,13.0,4.0,0.0
12,9.0,4.0,3.0,2.0,3.0,0.0
13,1.0,7.0,3.0,3.0,4.0,2.0
14,0.0,8.0,0.0,6.0,7.0,11.0
15,9.0,3.0,0.0,0.0,0.0,11.0
16,23.0,2.0,11.0,2.0,4.0,12.0
17,2.0,5.0,3.0,2.0,1.0,5.0
18,0.0,0.0,0.0,2.0,5.0,9.0
